,j,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc
84,Sugar,3870,0.0,0.0,0,10,1000.0,0.0,0.0,0.19,0.0,0,0.0,0.0,0,0.0
85,Sugarcane,540,6.0,31.0,0,80,130.0,14.0,1.0,0.1,0.2,0,0.0,0.0,30,0.0
86,Sweet Bananas,890,11.0,30.0,200,50,228.0,3.0,6.65,0.73,0.31,30,0.0,3.67,87,2.0
87,Sweet Potatoes (dry),3430,64.0,110.0,400,1140,807.0,24.0,21.22,2.33,2.5,4960,0.0,7.96,71,11.0
88,Sweet Potatoes (flour),3430,64.0,110.0,400,1140,807.0,24.0,21.22,2.33,2.5,4960,0.0,7.96,71,11.0
89,Sweet Potatoes (fresh),1230,23.0,40.0,160,430,289.0,9.0,8.0,0.88,1.12,2250,0.0,3.0,34,4.0
90,"Sweet Potatoes (orange, dry)",3430,64.0,110.0,400,1140,807.0,24.0,21.22,2.33,2.5,13900,0.0,7.96,71,11.0
91,"Sweet Potatoes (orange, flour)",3430,64.0,110.0,400,1140,807.0,24.0,21.22,2.33,2.5,13900,0.0,7.96,71,11.0
92,"Sweet Potatoes (orange, fresh)",1230,23.0,40.0,160,430,289.0,9.0,8.0,0.88,1.12,6300,0.0,3.0,34,4.0
93,"Sweet Potatoes (white, dry)",3430,65.0,120.0,400,1200,804.0,23.0,21.22,2.31,2.67,0,0.0,7.95,77,12.0
94,"Sweet Potatoes (white, flour)",3430,65.0,120.0,400,1200,804.0,23.0,21.22,2.31,2.67,0,0.0,7.95,77,12.0
95,"Sweet Potatoes (white, fresh)",1170,22.0,40.0,150,410,274.0,8.0,7.61,0.83,1.07,0,0.0,2.85,33,4.0
96,Tilapia (dried),4130,865.0,0.0,930,430,0.0,26.0,159.51,2.57,1.59,0,61.2,6.27,0,13.0
97,Tilapia (fresh),960,201.0,0.0,240,100,0.0,6.0,39.03,0.63,0.41,0,15.8,1.62,0,3.0
98,Tomatoes,180,9.0,10.0,150,100,39.0,3.0,5.94,0.19,0.37,420,0.0,0.8,127,2.0
99,Waragi,2630,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0
100,Watermelon,300,6.1,4.00000006,30,70,75.5,2.4,1.78,0.21,0.33,280,0.0,0.45,81,1.0
101,Wheat (flour),3640,103.0,30.0,260,150,763.0,12.0,12.5,0.4,1.2,0,0.0,0.44,0,7.0
102,Yams (arrowroot),1180,15.0,40.0,230,170,279.0,5.0,5.52,0.32,1.12,70,0.0,2.93,171,2.0
