i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
11011,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110110,2018,ziguinchor,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1.386294361
110111,2018,ziguinchor,0,0,2,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1.386294361
110112,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
11012,2018,ziguinchor,2,4,2,2,0,0,0,1,1,1,1,2,1,1,0,1,1,0,2.302585093
11013,2018,ziguinchor,1,2,2,1,0,0,1,0,0,2,1,0,0,1,1,0,0,0,1.791759469
11014,2018,ziguinchor,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
11015,2018,ziguinchor,1,4,1,1,0,0,0,0,1,2,0,2,0,0,1,1,0,0,1.945910149
11016,2018,ziguinchor,1,2,1,3,0,0,0,0,1,1,0,1,2,0,0,1,1,0,1.945910149
11017,2018,ziguinchor,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1.791759469
11018,2018,ziguinchor,1,2,2,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469
11019,2018,ziguinchor,1,2,0,4,0,0,0,2,0,0,0,0,2,0,1,0,1,1,1.945910149
11031,2018,ziguinchor,1,1,2,2,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1.791759469
110310,2018,ziguinchor,2,2,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1.609437912
110311,2018,ziguinchor,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1.386294361
110312,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806
11032,2018,ziguinchor,3,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1.791759469
11033,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11034,2018,ziguinchor,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
11035,2018,ziguinchor,2,3,3,1,1,0,0,1,2,2,0,0,0,1,1,0,0,1,2.197224577
11036,2018,ziguinchor,3,2,0,2,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1.945910149
11037,2018,ziguinchor,3,2,0,1,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1.791759469
11038,2018,ziguinchor,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6931471806
11039,2018,ziguinchor,1,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1.609437912
11041,2018,ziguinchor,1,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1.609437912
110410,2018,ziguinchor,4,2,0,2,0,0,0,1,0,1,0,1,1,2,0,0,1,1,2.079441542
110411,2018,ziguinchor,3,3,0,2,0,0,0,1,0,0,0,2,0,0,2,1,0,2,2.079441542
110412,2018,ziguinchor,2,2,1,1,0,0,0,0,0,2,1,0,0,1,1,1,0,0,1.791759469
11042,2018,ziguinchor,2,1,5,3,1,0,1,0,1,0,2,1,1,0,2,1,0,1,2.397895273
11043,2018,ziguinchor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
11044,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6931471806
11045,2018,ziguinchor,1,1,4,5,1,0,2,0,1,1,1,0,2,0,2,1,0,0,2.397895273
11046,2018,ziguinchor,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1.386294361
11047,2018,ziguinchor,1,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1.609437912
11048,2018,ziguinchor,1,2,1,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,1.609437912
11049,2018,ziguinchor,6,7,2,5,0,2,1,3,0,2,1,1,3,2,1,2,1,1,2.995732274
11061,2018,ziguinchor,2,1,1,4,0,0,0,0,0,1,1,0,3,1,0,1,1,0,2.079441542
110610,2018,ziguinchor,1,1,1,4,0,0,0,0,1,0,2,1,0,0,2,1,0,0,1.945910149
110611,2018,ziguinchor,2,1,2,2,0,0,2,0,0,1,0,0,0,1,2,0,0,1,1.945910149
110612,2018,ziguinchor,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.098612289
11062,2018,ziguinchor,2,1,2,3,1,0,0,0,0,0,1,1,1,1,1,0,1,1,2.079441542
11063,2018,ziguinchor,3,0,5,3,1,0,1,0,3,0,0,0,1,1,1,1,1,1,2.397895273
11064,2018,ziguinchor,1,0,5,2,1,0,2,0,1,0,1,0,2,1,0,0,0,0,2.079441542
11065,2018,ziguinchor,4,1,0,3,0,0,0,0,0,0,0,1,0,3,2,0,1,1,2.079441542
11066,2018,ziguinchor,2,2,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1.791759469
11067,2018,ziguinchor,1,0,3,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1.609437912
11068,2018,ziguinchor,2,2,3,3,2,0,1,1,0,0,1,1,2,1,0,0,0,1,2.302585093
11069,2018,ziguinchor,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1.386294361
11081,2018,ziguinchor,1,1,2,5,0,0,0,0,1,0,1,1,1,0,3,0,1,1,2.197224577
110810,2018,ziguinchor,1,1,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1.386294361
110811,2018,ziguinchor,4,1,1,4,1,0,0,1,0,0,1,0,1,1,1,1,1,2,2.302585093
110812,2018,ziguinchor,1,2,1,2,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1.791759469
11082,2018,ziguinchor,5,3,1,5,1,1,0,1,0,0,0,1,2,2,2,2,1,1,2.63905733
11083,2018,ziguinchor,2,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1.609437912
11084,2018,ziguinchor,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1.386294361
11085,2018,ziguinchor,2,0,1,4,0,0,1,0,0,0,0,0,3,1,1,0,0,1,1.945910149
11086,2018,ziguinchor,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.098612289
11087,2018,ziguinchor,2,1,2,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1.791759469
11088,2018,ziguinchor,5,4,1,4,0,0,0,2,0,1,2,1,1,3,1,1,1,1,2.63905733
11089,2018,ziguinchor,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.098612289
111,2018,dakar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806
11101,2018,ziguinchor,2,3,0,2,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1.945910149
111010,2018,ziguinchor,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1.386294361
111011,2018,ziguinchor,3,1,4,0,1,0,0,1,2,0,1,0,0,2,0,0,0,1,2.079441542
111012,2018,ziguinchor,1,1,1,4,0,0,0,0,1,1,0,0,1,0,2,1,1,0,1.945910149
11102,2018,ziguinchor,1,3,1,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1.791759469
11103,2018,ziguinchor,2,0,1,3,0,0,1,0,0,0,0,0,1,2,1,0,1,0,1.791759469
11104,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11105,2018,ziguinchor,3,2,2,0,0,0,0,0,0,1,2,1,0,2,0,1,0,0,1.945910149
11106,2018,ziguinchor,1,1,2,3,0,0,0,0,1,1,1,0,2,0,0,1,1,0,1.945910149
11107,2018,ziguinchor,4,3,4,2,1,1,1,0,1,0,1,2,1,1,1,2,0,1,2.564949357
11108,2018,ziguinchor,4,4,2,1,1,1,1,1,0,0,0,2,0,3,1,0,0,1,2.397895273
11109,2018,ziguinchor,2,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1.609437912
1111,2018,dakar,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
11110,2018,dakar,1,2,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1.609437912
11111,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11112,2018,dakar,3,2,2,2,0,0,0,0,2,1,0,1,1,1,1,1,0,1,2.197224577
1112,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11121,2018,ziguinchor,1,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
111210,2018,ziguinchor,1,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1.386294361
111211,2018,ziguinchor,1,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1.609437912
111212,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11122,2018,ziguinchor,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.386294361
11123,2018,ziguinchor,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.098612289
11124,2018,ziguinchor,3,3,0,2,0,0,0,0,0,2,0,1,1,0,0,0,1,3,2.079441542
11125,2018,ziguinchor,3,0,0,3,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1.791759469
11126,2018,ziguinchor,3,2,1,3,0,0,0,1,0,1,2,0,0,2,1,0,1,1,2.197224577
11127,2018,ziguinchor,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
11128,2018,ziguinchor,4,0,2,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,1.791759469
11129,2018,ziguinchor,3,3,0,1,0,0,0,1,0,1,0,2,0,1,0,1,1,0,1.945910149
1113,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1114,2018,dakar,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.098612289
11141,2018,ziguinchor,2,5,2,3,0,1,0,1,1,1,1,2,2,0,1,1,0,1,2.48490665
111410,2018,ziguinchor,3,3,2,1,0,0,1,0,1,1,0,3,0,1,1,1,0,0,2.197224577
111411,2018,ziguinchor,2,2,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1.609437912
111412,2018,ziguinchor,3,3,1,3,0,1,1,1,0,0,0,2,2,1,1,1,0,0,2.302585093
11142,2018,ziguinchor,1,0,3,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
11143,2018,ziguinchor,4,1,4,2,0,0,1,0,2,1,1,0,1,1,1,3,0,0,2.397895273
11144,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11145,2018,ziguinchor,3,4,3,2,1,1,1,1,0,2,1,0,1,1,0,2,1,0,2.48490665
11146,2018,ziguinchor,5,2,0,3,0,1,0,1,0,0,0,0,2,3,1,1,0,1,2.302585093
11147,2018,ziguinchor,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.098612289
11148,2018,ziguinchor,1,2,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
11149,2018,ziguinchor,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
1115,2018,dakar,6,4,2,3,1,0,0,1,1,2,0,2,3,1,0,2,0,2,2.708050201
1116,2018,dakar,1,3,1,3,0,0,0,2,0,1,1,0,2,0,0,1,1,0,2.079441542
11161,2018,ziguinchor,2,1,3,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1.945910149
111610,2018,ziguinchor,3,4,7,3,3,1,1,0,3,2,0,1,0,1,2,2,1,0,2.833213344
111611,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111612,2018,ziguinchor,3,6,2,1,1,0,0,2,0,2,1,3,0,1,1,1,0,0,2.48490665
11162,2018,ziguinchor,2,2,2,3,0,0,0,0,2,0,0,2,2,1,0,0,1,1,2.197224577
11163,2018,ziguinchor,2,3,1,2,0,0,1,0,0,2,0,2,1,0,1,1,0,0,2.079441542
11164,2018,ziguinchor,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.098612289
11165,2018,ziguinchor,4,2,1,3,0,0,0,1,0,1,1,0,2,2,0,1,1,1,2.302585093
11166,2018,ziguinchor,3,1,0,3,0,1,0,0,0,0,0,0,1,2,2,0,0,1,1.945910149
11167,2018,ziguinchor,2,1,3,1,0,0,1,0,2,0,0,1,0,1,0,1,1,0,1.945910149
11168,2018,ziguinchor,3,0,2,2,0,0,0,0,1,0,1,0,1,2,0,1,1,0,1.945910149
11169,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1117,2018,dakar,1,0,3,2,0,0,0,0,2,0,1,0,0,0,1,1,1,0,1.791759469
1118,2018,dakar,3,0,2,3,0,0,2,0,0,0,0,0,0,2,2,0,1,1,2.079441542
11181,2018,ziguinchor,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1.609437912
111810,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111811,2018,ziguinchor,1,2,2,1,1,0,0,0,1,2,0,0,0,0,1,1,0,0,1.791759469
111812,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11182,2018,ziguinchor,1,3,1,1,0,2,1,0,0,1,0,0,0,1,1,0,0,0,1.791759469
11183,2018,ziguinchor,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
11184,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11185,2018,ziguinchor,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1.098612289
11186,2018,ziguinchor,1,2,2,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1.609437912
11187,2018,ziguinchor,1,1,1,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1.609437912
11188,2018,ziguinchor,2,0,2,2,1,0,0,0,1,0,0,0,1,2,0,0,1,0,1.791759469
11189,2018,ziguinchor,1,1,1,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1.609437912
1119,2018,dakar,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
112,2018,dakar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
11201,2018,ziguinchor,5,1,3,2,0,0,0,1,2,0,1,0,1,2,1,1,0,2,2.397895273
112010,2018,ziguinchor,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
112011,2018,ziguinchor,1,3,2,1,0,1,2,0,0,1,0,1,0,0,0,1,1,0,1.945910149
112012,2018,ziguinchor,1,2,1,2,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1.791759469
11202,2018,ziguinchor,1,4,3,1,1,0,1,3,0,1,1,0,0,0,0,1,1,0,2.197224577
11203,2018,ziguinchor,1,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1.791759469
11204,2018,ziguinchor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
11205,2018,ziguinchor,1,1,2,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1.609437912
11206,2018,ziguinchor,2,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1.386294361
11207,2018,ziguinchor,3,3,2,1,0,0,0,2,2,1,0,0,0,1,0,2,1,0,2.197224577
11208,2018,ziguinchor,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289
11209,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11221,2018,ziguinchor,2,1,2,3,0,0,0,0,2,0,1,1,1,1,1,1,0,0,2.079441542
112210,2018,ziguinchor,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806
112211,2018,ziguinchor,2,5,5,4,1,0,1,2,1,2,2,1,3,1,1,1,0,0,2.772588722
112212,2018,ziguinchor,1,4,6,3,0,0,2,4,3,0,1,0,2,0,0,0,1,1,2.63905733
11222,2018,ziguinchor,3,2,0,2,0,0,0,0,0,2,0,0,0,1,2,0,0,2,1.945910149
11223,2018,ziguinchor,1,2,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
11224,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11225,2018,ziguinchor,2,2,1,7,0,0,0,0,0,1,2,2,5,0,1,1,0,0,2.48490665
11226,2018,ziguinchor,1,1,2,4,0,0,1,0,0,0,1,1,2,1,2,0,0,0,2.079441542
11227,2018,ziguinchor,2,1,2,2,1,1,1,0,0,0,0,0,2,2,0,0,0,0,1.945910149
11228,2018,ziguinchor,2,0,2,2,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1.791759469
11229,2018,ziguinchor,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471806
11251,2018,ziguinchor,2,5,1,1,0,2,0,2,1,1,0,0,0,1,1,1,0,0,2.197224577
112510,2018,ziguinchor,1,1,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1.386294361
112511,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112512,2018,ziguinchor,1,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361
11252,2018,ziguinchor,2,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1.609437912
11253,2018,ziguinchor,4,1,3,0,1,1,2,0,0,0,0,2,0,1,0,0,0,1,2.079441542
11254,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11255,2018,ziguinchor,1,0,3,2,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1.791759469
11256,2018,ziguinchor,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1.386294361
11257,2018,ziguinchor,1,2,2,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1.791759469
11258,2018,ziguinchor,4,3,1,3,1,2,0,0,0,1,0,0,1,3,1,0,1,1,2.397895273
11259,2018,ziguinchor,1,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1.609437912
11271,2018,diourbel,2,1,1,2,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1.791759469
112710,2018,diourbel,5,3,4,2,3,0,0,1,1,2,0,1,1,1,0,2,1,1,2.63905733
112711,2018,diourbel,3,1,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1.609437912
112712,2018,diourbel,5,3,4,4,1,0,0,1,2,0,1,2,1,2,2,1,1,2,2.772588722
11272,2018,diourbel,2,2,3,2,2,0,0,1,1,1,1,0,1,0,0,2,0,0,2.197224577
11273,2018,diourbel,4,10,4,1,1,3,1,2,2,2,0,3,0,1,1,2,0,1,2.944438979
11274,2018,diourbel,5,0,3,4,0,0,3,0,0,0,0,0,2,1,1,2,1,2,2.48490665
11275,2018,diourbel,3,1,4,3,3,0,0,1,0,0,1,0,1,2,2,1,0,0,2.397895273
11276,2018,diourbel,2,1,2,2,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1.945910149
11277,2018,diourbel,3,2,3,0,1,1,1,0,1,0,0,1,0,2,0,0,0,1,2.079441542
11278,2018,diourbel,1,1,4,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,1.791759469
11279,2018,diourbel,2,2,3,2,2,2,1,0,0,0,0,0,1,1,1,1,0,0,2.197224577
11291,2018,diourbel,1,3,1,1,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1.791759469
112910,2018,diourbel,1,3,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1.609437912
112911,2018,diourbel,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
112912,2018,diourbel,3,1,4,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,2.079441542
11292,2018,diourbel,1,0,3,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1.609437912
11293,2018,diourbel,8,5,10,1,3,1,3,2,2,2,2,0,0,2,0,3,1,3,3.17805383
11294,2018,diourbel,1,1,1,2,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1.609437912
11295,2018,diourbel,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6931471806
11296,2018,diourbel,2,2,3,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,2.079441542
11297,2018,diourbel,1,3,1,2,0,0,0,2,1,0,1,1,0,0,0,1,1,0,1.945910149
11298,2018,diourbel,5,2,3,4,0,1,2,1,1,0,0,0,1,3,1,1,2,1,2.63905733
11299,2018,diourbel,3,5,4,4,1,1,1,1,2,2,0,1,1,0,2,2,1,1,2.772588722
113,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1131,2018,dakar,6,0,1,1,0,0,1,0,0,0,0,0,0,2,1,2,0,2,2.079441542
11310,2018,dakar,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1.386294361
11311,2018,diourbel,6,4,5,3,1,0,0,2,4,0,0,3,1,1,1,3,1,1,2.890371758
113110,2018,diourbel,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
113111,2018,diourbel,1,3,3,0,0,0,1,0,2,1,0,2,0,0,0,1,0,0,1.945910149
113112,2018,diourbel,1,4,3,1,0,1,0,2,1,0,2,1,0,0,0,1,1,0,2.197224577
11312,2018,diourbel,2,3,2,3,0,0,1,1,1,2,1,0,0,2,1,0,1,0,2.302585093
11313,2018,diourbel,2,2,1,1,0,1,0,0,0,0,2,1,0,2,0,0,0,0,1.791759469
11314,2018,diourbel,3,2,2,1,0,0,0,0,1,2,1,0,0,1,1,1,0,1,2.079441542
11315,2018,diourbel,4,5,2,2,2,2,0,2,0,1,0,0,0,1,1,2,1,1,2.564949357
11316,2018,diourbel,4,9,1,1,0,1,1,3,0,3,0,2,0,3,0,1,1,0,2.708050201
11317,2018,diourbel,1,2,4,1,1,1,2,1,1,0,0,0,0,0,1,1,0,0,2.079441542
11318,2018,diourbel,2,4,4,2,1,1,3,3,0,0,0,0,1,1,1,0,0,1,2.48490665
11319,2018,diourbel,1,1,4,1,0,1,2,0,0,0,2,0,0,0,1,1,0,0,1.945910149
1132,2018,dakar,4,0,2,4,0,0,0,0,0,0,3,0,3,3,0,0,0,1,2.302585093
1133,2018,dakar,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.098612289
11331,2018,diourbel,3,3,3,1,0,0,2,2,0,0,1,2,0,2,1,0,0,0,2.302585093
113310,2018,diourbel,2,3,1,2,0,1,1,0,0,0,0,2,1,1,1,0,0,1,2.079441542
113311,2018,diourbel,2,5,4,2,2,1,1,1,1,1,0,2,0,1,2,1,0,0,2.564949357
113312,2018,diourbel,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289
11332,2018,diourbel,6,1,3,1,0,0,0,0,1,1,2,1,0,2,0,1,1,2,2.397895273
11333,2018,diourbel,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1.609437912
11334,2018,diourbel,5,7,4,2,2,0,0,0,2,3,0,5,1,1,0,2,1,1,2.890371758
11335,2018,diourbel,2,1,3,4,0,0,2,1,0,0,1,0,3,1,0,0,1,1,2.302585093
11336,2018,diourbel,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.6931471806
11337,2018,diourbel,2,3,1,1,0,1,1,0,0,2,0,0,0,0,1,1,0,1,1.945910149
11338,2018,diourbel,1,1,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1.609437912
11339,2018,diourbel,2,1,2,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1.609437912
1134,2018,dakar,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
1135,2018,dakar,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
11351,2018,diourbel,2,2,3,5,0,0,1,1,2,0,0,1,2,0,2,2,1,0,2.48490665
113510,2018,diourbel,4,3,1,2,1,1,0,2,0,0,0,0,0,1,2,1,0,2,2.302585093
113511,2018,diourbel,2,0,1,2,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1.609437912
113512,2018,diourbel,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.386294361
11352,2018,diourbel,4,2,3,2,1,1,0,0,2,1,0,0,0,2,2,1,0,1,2.397895273
11353,2018,diourbel,2,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1.609437912
11354,2018,diourbel,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1.386294361
11355,2018,diourbel,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1.098612289
11356,2018,diourbel,3,2,3,1,0,0,2,0,0,1,1,2,0,0,1,1,0,1,2.197224577
11357,2018,diourbel,8,5,5,3,2,0,2,2,0,1,1,3,0,2,1,3,2,2,3.044522438
11358,2018,diourbel,6,3,1,2,0,3,1,0,0,0,1,0,0,2,1,1,0,3,2.48490665
11359,2018,diourbel,4,0,10,4,0,0,5,0,4,0,1,1,3,3,0,0,1,0,2.890371758
1136,2018,dakar,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361
1137,2018,dakar,2,2,3,5,0,0,1,0,2,1,0,1,3,0,0,1,2,1,2.48490665
11371,2018,diourbel,1,1,1,2,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1.609437912
113711,2018,diourbel,1,1,5,1,2,0,1,1,1,0,1,0,0,1,1,0,0,0,2.079441542
113712,2018,diourbel,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
11372,2018,diourbel,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1.609437912
11373,2018,diourbel,2,2,3,0,0,0,2,1,0,0,1,1,0,1,0,0,0,1,1.945910149
11374,2018,diourbel,4,1,2,2,1,1,1,0,0,0,0,0,1,2,0,1,1,1,2.197224577
11375,2018,diourbel,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1.098612289
11376,2018,diourbel,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1.098612289
11377,2018,diourbel,1,0,8,1,1,0,3,0,3,0,1,0,0,1,1,0,0,0,2.302585093
11378,2018,diourbel,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.098612289
11379,2018,diourbel,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1138,2018,dakar,2,0,0,4,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1.791759469
1139,2018,dakar,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912
11391,2018,diourbel,5,6,2,1,2,1,0,2,0,2,0,2,0,2,1,1,0,1,2.63905733
113910,2018,diourbel,3,1,1,3,0,0,0,1,1,0,0,0,1,1,0,0,2,2,2.079441542
113911,2018,diourbel,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.098612289
113912,2018,diourbel,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.098612289
11392,2018,diourbel,3,6,2,0,0,1,0,1,2,2,0,2,0,0,0,2,0,1,2.397895273
